Country_Code,Country_Name,Market_Year,Arabica_Production,Robusta_Production,Other_Production,Total_Production,Bean_Exports,Roast_Ground_Exports,Soluble_Exports,Total_Exports,Bean_Imports,Roast_Ground_Imports,Soluble_Imports,Total_Imports,Roast_Ground_consumption,Soluble_consumption,Total_consumption
AG,Algeria,2017,0,0,0,0,0,0,0,0,129900,0,2400,132300,129900,2400,132300
AG,Algeria,2018,0,0,0,0,0,0,0,0,136200,0,1800,138000,136200,1800,138000
AG,Algeria,2019,0,0,0,0,0,0,0,0,138000,0,2400,140400,138000,2400,140400
AG,Algeria,2020,0,0,0,0,0,0,0,0,120000,0,2400,122400,120000,2400,122400
AG,Algeria,2021,0,0,0,0,0,0,0,0,132000,0,2400,134400,132000,2400,134400
AG,Algeria,2022,0,0,0,0,0,0,0,0,123000,0,2400,125400,123000,2400,125400
AG,Algeria,2023,0,0,0,0,0,0,0,0,120000,0,3000,123000,120000,3000,123000
AO,Angola,2017,0,1200,0,1200,360,0,0,360,0,0,0,0,840,0,840
AO,Angola,2018,0,1140,0,1140,360,0,0,360,0,0,0,0,780,0,780
AO,Angola,2019,0,1200,0,1200,480,0,0,480,0,0,0,0,720,0,720
AO,Angola,2020,0,1920,0,1920,1320,0,0,1320,0,0,0,0,600,0,600
AO,Angola,2021,0,1800,0,1800,960,0,0,960,0,0,0,0,840,0,840
AO,Angola,2022,0,1500,0,1500,960,0,0,960,0,0,0,0,540,0,540
AO,Angola,2023,0,1800,0,1800,1200,0,0,1200,0,0,0,0,600,0,600
AR,Argentina,2017,0,0,0,0,0,0,0,0,29400,1140,14700,45240,30540,14700,45240
AR,Argentina,2018,0,0,0,0,0,0,0,0,27000,1500,18000,46500,28500,18000,46500
AR,Argentina,2019,0,0,0,0,0,0,0,0,27000,1500,15600,44100,28500,15600,44100
AR,Argentina,2020,0,0,0,0,0,0,0,0,31500,1440,18600,51540,32940,18600,51540
AR,Argentina,2021,0,0,0,0,0,0,0,0,24600,1740,21000,47340,29340,18000,47340
AR,Argentina,2022,0,0,0,0,0,0,0,0,26100,1500,21000,48600,27000,21600,48600
AR,Argentina,2023,0,0,0,0,0,0,0,0,27000,1500,22500,51000,27000,24000,51000
AS,Australia,2017,0,0,0,0,0,0,0,0,84900,11400,7500,103800,96300,7500,103800
AS,Australia,2018,0,0,0,0,0,0,0,0,92400,9600,12000,114000,102000,12000,114000
